"ipm_id","env_variable","vr_expr_name","env_range","env_function","model_type"
"bbbb18","t_rec","t_rec",NA,NA,NA
"bbbb18","ba_rec","ba_rec",NA,NA,NA
"bbbb18","ta_rec","ta_rec",NA,NA,NA
"bbbb18","pta_rec","pta_rec",NA,NA,NA
"bbbb19","prec_s","prec_s",NA,NA,NA
"bbbb19","t_s","t_s",NA,NA,NA
"bbbb19","ba_s","ba_s",NA,NA,NA
"bbbb19","ta_s","ta_s",NA,NA,NA
"bbbb19","pta_s","pta_s",NA,NA,NA
"bbbb19","ba_g","ba_g",NA,NA,NA
"bbbb19","pa_g","pa_g",NA,NA,NA
"bbbb19","ta_g","ta_g",NA,NA,NA
"bbbb19","lambda","lambda",NA,NA,NA
"bbbb19","ba_rec","ba_rec",NA,NA,NA
"bbbb20","prec_s","prec_s",NA,NA,NA
"bbbb20","t_s","t_s",NA,NA,NA
"bbbb20","ta_s","ta_s",NA,NA,NA
"bbbb20","pta_s","pta_s",NA,NA,NA
"bbbb20","pa_g","pa_g",NA,NA,NA
"bbbb20","ta_g","ta_g",NA,NA,NA
"bbbb20","pta_g","pta_g",NA,NA,NA
"bbbb20","lambda","lambda",NA,NA,NA
"bbbbb7","fert4_growth","fert4_growth","NEED",NA,NA
"bbbbb7","fert4_2_growth","fert4_2_growth","NEED",NA,NA
"bbbbb7","smdwin_growth","smdwin_growth","NEED",NA,NA
"bbbbb7","smdwin_2_growth","smdwin_2_growth","NEED",NA,NA
"bbbbb7","ph1_growth","ph1_growth","NEED",NA,NA
"bbbbb7","ph1_2_growth","ph1_2_growth","NEED",NA,NA
"bbbbb7","min07_growth","min07_growth","NEED",NA,NA
"bbbbb7","smdsum_growth","smdsum_growth","NEED",NA,NA
"bbbbb7","smdsum_2_growth","smdsum_2_growth","NEED",NA,NA
"bbbbb7","min_07_seedhead","min_07_seedhead","NEED",NA,NA
"bbbbb7","ph1_seedhead","ph1_seedhead","NEED",NA,NA
"bbbbb7","ph1_2_seedhead","ph1_2_seedhead","NEED",NA,NA
"bbbbb7","ph1_f_recsize","ph1_f_recsize","NEED",NA,NA
"bbbbb7","fert4_f_recsize","fert4_f_recsize","NEED",NA,NA
"bbbbb7","fert4_2_f_recsize","fert4_2_f_recsize","NEED",NA,NA
"bbbbb7","min07_f_recsize","min07_f_recsize","NEED",NA,NA
"bbbbb7","smdsum_f_recsize","smdsum_f_recsize","NEED",NA,NA
"bbbbb7","smdsum_2_f_recsize","smdsum_2_f_recsize","NEED",NA,NA
"bbbbb7","min07_seedling","min07_seedling","NEED",NA,NA
"bbbbb7","map_seedling","map_seedling","NEED",NA,NA
"bbbbb7","min07_adult","min07_adult","NEED",NA,NA
"bbbbb7","map_adult","map_adult","NEED",NA,NA
"bbbbb8","prec","prec",NA,NA,NA
"bbbbb8","temp","temp",NA,NA,NA
"bbbbb8","ba","ba",NA,NA,NA
"bbbbb8","pa","prec_a",NA,NA,NA
"bbbbb8","ta","temp_a",NA,NA,NA
