"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaaa63"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa63"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa64"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa64"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa65"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa65"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa66"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa66"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa67"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa67"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa68"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa68"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa69"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa69"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa70"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa70"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa71"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa71"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa72"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa72"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa73"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa73"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa74"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa74"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa75"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa75"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa76"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa76"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa77"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa77"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa78"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa78"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa79"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa79"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa80"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa80"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa81"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa81"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa82"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa82"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa83"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa83"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa84"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa84"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
