"ipm_id"	"expression"	"n_bins"	"comment"
"aaa321"	"n_size"	100	NA
"aaa322"	"n_size"	100	NA
"aaa322"	"n_seedbank"	1	NA
"aaa323"	"n_size"	100	NA
"aaa324"	"n_size"	100	NA
"aaa325"	"n_size"	80	NA
"aaa325"	"n_seedbank"	1	NA
"aaa326"	"n_size"	100	NA
"aaa327"	"n_size"	300	"Inserted by SCL - Real number not published and authors unresponsive"
"aaa327"	"n_seedbank"	1	NA
"aaa327"	"n_seedling"	1	NA
"aaa328"	"n_rcd"	80	NA
"aaa329"	"n_rcd"	80	NA
"aaa330"	"n_size"	250	NA
"aaa331"	"n_size"	250	NA
"aaa332"	"n_lnrosette"	100	NA
"aaa332"	"n_seedbank"	1	NA
"aaa333"	"n_lnrosette"	100	NA
"aaa333"	"n_seedbank"	1	NA
"aaa334"	"n_seedlings"	137	NA
"aaa334"	"n_ramets"	500	NA
"aaa335"	"n_dbh"	50	NA
"aaa335"	"n_seedbank"	1	NA
"aaa336"	"n_dbh"	50	NA
"aaa336"	"n_seedbank"	1	NA
"aaa337"	"n_size"	500	NA
"aaa337"	"n_seedbank_1"	1	NA
"aaa337"	"n_seedbank_2"	1	NA
"aaa338"	"n_size"	500	NA
"aaa338"	"n_seedbank_1"	1	NA
"aaa338"	"n_seedbank_2"	1	NA
"aaa339"	"n_size"	500	NA
"aaa339"	"n_seedbank"	1	NA
"aaa340"	"n_size"	500	NA
"aaa340"	"n_seedbank"	1	NA
"aaa341"	"n_size"	500	NA
"aaa342"	"n_size"	500	NA
"aaa343"	"n_size"	1000	NA
"aaa344"	"n_lnCV"	400	NA
"aaa345"	"n_lnCV"	400	NA
"aaa346"	"n_lnsize"	200	NA
"aaa346"	"n_seedbank_1"	1	NA
"aaa346"	"n_seedbank_2"	1	NA
"aaa346"	"n_seedling"	1	NA
"aaa347"	"n_lnsize"	200	NA
"aaa347"	"n_seedbank_1"	1	NA
"aaa347"	"n_seedbank_2"	1	NA
"aaa347"	"n_seedling"	1	NA
"aaa348"	"n_lnsize"	200	NA
"aaa348"	"n_seedbank_1"	1	NA
"aaa348"	"n_seedbank_2"	1	NA
"aaa348"	"n_seedling"	1	NA
"aaa349"	"n_lnsize"	100	NA
"aaa350"	"n_lnsize"	100	NA
"aaa351"	"n_lnsize"	100	NA
"aaa352"	"n_lnsize"	100	NA
"aaa353"	"n_lnsize"	100	NA
"aaa354"	"n_lnsize"	100	NA
"aaa355"	"n_lnsize"	100	NA
"aaa356"	"n_lnsize"	100	NA
"aaa357"	"n_lnsize"	100	NA
"aaa358"	"n_lnsize"	100	NA
"aaa359"	"n_lnsize"	100	NA
"aaa360"	"n_lnsize"	100	NA
"aaa361"	"n_lnsize"	100	NA
"aaa362"	"n_lnsize"	100	NA
"aaa363"	"n_lnsize"	100	NA
"aaa364"	"n_lnsize"	100	NA
"aaa365"	"n_lnsize"	100	NA
"aaa366"	"n_lnsize"	100	NA
"aaa367"	"n_lnsize"	100	NA
"aaa368"	"n_lnsize"	100	NA
"aaa369"	"n_lnsize"	100	NA
"aaa370"	"n_lnsize"	100	NA
"aaa371"	"n_lnsize"	100	NA
"aaa372"	"n_lnsize"	100	NA
"aaa373"	"n_lnsize"	100	NA
"aaa374"	"n_lnsize"	100	NA
"aaa375"	"n_lnsize"	100	NA
"aaa376"	"n_lnsize"	100	NA
"aaa377"	"n_lnsize"	100	NA
"aaa378"	"n_lnsize"	100	NA
"aaa379"	"n_lnsize"	100	NA
"aaa380"	"n_lnsize"	100	NA
"aaa381"	"n_lnD"	200	NA
"aaa381"	"n_seedbank"	1	NA
"aaa382"	"n_lnD"	200	NA
"aaa382"	"n_seedbank"	1	NA
"aaa383"	"n_lnD"	200	NA
"aaa383"	"n_seedbank"	1	NA
"aaa384"	"n_Rvol"	50	NA
"aaa385"	"n_height"	50	NA
"aaa386"	"n_height"	50	NA
"aaa387"	"n_height"	50	NA
"aaa388"	"n_height"	50	NA
"aaa389"	"n_lnmass"	100	NA
"aaa390"	"n_lnmass"	100	NA
"aaa391"	"n_lnmass"	100	NA
"aaa392"	"n_lnmass"	100	NA
"aaaa15"	"n_leafarea"	50	NA
"aaaa16"	"n_leafarea"	50	NA
"aaaa17"	"n_yearling"	1	NA
"aaaa17"	"n_size"	100	NA
"aaaa18"	"n_yearling"	1	NA
"aaaa18"	"n_size"	100	NA
"aaaa19"	"n_yearling"	1	NA
"aaaa19"	"n_size"	100	NA
"aaaa20"	"n_yearling"	1	NA
"aaaa20"	"n_size"	100	NA
"aaaa21"	"n_size"	500	NA
"aaaa22"	"n_logD"	NA	NA
"aaaa23"	"n_size"	45	NA
"aaaa24"	"n_size"	299	NA
"aaaa24"	"n_biggest"	1	NA
"aaaa25"	"n_size"	299	NA
"aaaa25"	"n_biggest"	1	NA
"aaaa26"	"n_size"	299	NA
"aaaa26"	"n_biggest"	1	NA
"aaaa27"	"n_size"	299	NA
"aaaa27"	"n_biggest"	1	NA
"aaaa28"	"n_size"	299	NA
"aaaa28"	"n_biggest"	1	NA
"aaaa29"	"n_size"	299	NA
"aaaa29"	"n_biggest"	1	NA
"aaaa30"	"n_size"	299	NA
"aaaa30"	"n_biggest"	1	NA
"aaaa31"	"n_size"	299	NA
"aaaa31"	"n_biggest"	1	NA
"aaaa32"	"n_size"	299	NA
"aaaa32"	"n_biggest"	1	NA
"aaaa33"	"n_nrosettes"	59	NA
"aaaa34"	"n_lnsize"	500	NA
"aaaa35"	"n_lnsize"	500	NA
"aaaa36"	"n_lnsize"	500	NA
"aaaa37"	"n_lnsize"	500	NA
"aaaa38"	"n_nleaves"	100	NA
"aaaa39"	"n_nleaves"	100	NA
"aaaa40"	"n_nleaves"	100	NA
"aaaa41"	"n_nleaves"	100	NA
"aaaa42"	"n_nleaves"	100	NA
"aaaa43"	"n_nleaves"	100	NA
"aaaa44"	"n_nleaves"	100	NA
"aaaa45"	"n_nleaves"	100	NA
"aaaa46"	"n_nleaves"	100	NA
"aaaa47"	"n_nleaves"	100	NA
"aaaa48"	"n_nleaves"	100	NA
"aaaa49"	"n_nleaves"	100	NA
"aaaa50"	"n_nleaves"	100	NA
"aaaa51"	"n_nleaves"	100	NA
"aaaa52"	"n_nleaves"	100	NA
"aaaa53"	"n_nleaves"	100	NA
"aaaa54"	"n_lnleaf"	50	NA
"aaaa55"	"n_lnsize"	200	NA
"aaaa55"	"n_b1"	1	NA
"aaaa55"	"n_b2"	1	NA
"aaaa56"	"n_logsize"	50	NA
"aaaa56"	"n_seedbank"	1	NA
"aaaa57"	"n_logrosette_0"	50	NA
"aaaa57"	"n_logrosette_1"	50	NA
"aaaa58"	"n_logrosette_0"	50	NA
"aaaa58"	"n_logrosette_1"	50	NA
"aaaa59"	"n_logarea"	50	NA
"aaaa60"	"n_logarea"	50	NA
"aaaa61"	"n_size"	1000	NA
"aaaa62"	"n_size"	1000	NA
"aaaa63"	"n_size"	1000	NA
"aaaa64"	"n_size"	1000	NA
"aaaa65"	"n_size"	1000	NA
"aaaa66"	"n_size"	1000	NA
"aaaa67"	"n_size"	1000	NA
"aaaa68"	"n_size"	1000	NA
"aaaa69"	"n_size"	1000	NA
"aaaa70"	"n_size"	1000	NA
"aaaa71"	"n_size"	1000	NA
"aaaa72"	"n_size"	1000	NA
"aaaa73"	"n_size"	1000	NA
"aaaa74"	"n_size"	1000	NA
"aaaa75"	"n_size"	1000	NA
"aaaa76"	"n_size"	1000	NA
"aaaa77"	"n_size"	1000	NA
"aaaa78"	"n_size"	1000	NA
"aaaa79"	"n_size"	1000	NA
"aaaa80"	"n_size"	1000	NA
"aaaa81"	"n_size"	1000	NA
"aaaa82"	"n_size"	1000	NA
"aaaa83"	"n_size"	1000	NA
"aaaa84"	"n_size"	1000	NA
"aaaa85"	"n_size"	1000	NA
"aaaa86"	"n_size"	1000	NA
"aaaa87"	"n_size"	1000	NA
"aaaa88"	"n_size"	1000	NA
"aaaa89"	"n_size"	1000	NA
"aaaa90"	"n_size"	1000	NA
"aaaa91"	"n_size"	1000	NA
"aaaa92"	"n_size"	1000	NA
"aaaa93"	"n_size"	1000	NA
"aaaa94"	"n_size"	1000	NA
"aaaa95"	"n_size"	1000	NA
"aaaa96"	"n_size"	1000	NA
"aaaa97"	"n_size"	1000	NA
"aaaa98"	"n_size"	1000	NA
"aaaa99"	"n_size"	1000	NA
"aaaaa0"	"n_size"	250	NA
"aaaaa1"	"n_size"	250	NA
"aaaaa2"	"n_size"	250	NA
"aaaaa3"	"n_size"	250	NA
"aaaaa4"	"n_size"	250	NA
"aaaaa5"	"n_size"	250	NA
"aaaaa6"	"n_size"	250	NA
"aaaaa7"	"n_size"	250	NA
"aaaaa8"	"n_dbh"	2400	NA
"bbbb10"	"n_dbh"	1500	NA
"bbbb11"	"n_dbh"	1500	NA
"bbbb12"	"n_dbh"	1500	NA
"bbbb13"	"n_dbh"	1500	NA
"bbbb14"	"n_dbh"	1500	NA
"bbbb15"	"n_dbh"	1500	NA
"bbbb16"	"n_dbh"	1500	NA
"bbbb17"	"n_dbh"	1500	NA
"bbbb18"	"n_dbh"	1500	NA
"bbbb19"	"n_dbh"	1500	NA
"bbbb20"	"n_dbh"	1500	NA
"bbbb21"	"n_size"	100	NA
"bbbb21"	"n_seedbank"	1	NA
"bbbb22"	"n_size"	100	NA
"bbbb22"	"n_seedbank"	1	NA
"bbbb23"	"n_size"	100	NA
"bbbb23"	"n_seedbank"	1	NA
"bbbb24"	"n_size"	100	NA
"bbbb24"	"n_seedbank"	1	NA
"bbbb25"	"n_size"	100	NA
"bbbb25"	"n_seedbank"	1	NA
"bbbb26"	"n_size"	100	NA
"bbbb26"	"n_seedbank"	1	NA
"bbbb27"	"n_size"	100	NA
"bbbb27"	"n_seedbank"	1	NA
"bbbb28"	"n_size"	100	NA
"bbbb28"	"n_seedbank"	1	NA
"bbbb29"	"n_size"	100	NA
"bbbb29"	"n_seedbank"	1	NA
"bbbb30"	"n_size"	100	NA
"bbbb30"	"n_seedbank"	1	NA
"bbbb31"	"n_size"	100	NA
"bbbb31"	"n_seedbank"	1	NA
"bbbb32"	"n_size"	100	NA
"bbbb32"	"n_seedbank"	1	NA
"bbbb33"	"n_size"	100	NA
"bbbb33"	"n_seedbank"	1	NA
"bbbb34"	"n_size"	100	NA
"bbbb34"	"n_seedbank"	1	NA
"bbbb35"	"n_size"	100	NA
"bbbb35"	"n_seedbank"	1	NA
"bbbb36"	"n_size"	100	NA
"bbbb36"	"n_seedbank"	1	NA
"bbbb37"	"n_size"	100	NA
"bbbb37"	"n_seedbank"	1	NA
"bbbb38"	"n_size"	100	NA
"bbbb38"	"n_seedbank"	1	NA
"bbbb39"	"n_size"	100	NA
"bbbb39"	"n_seedbank"	1	NA
"bbbb40"	"n_size"	100	NA
"bbbb40"	"n_seedbank"	1	NA
"bbbb41"	"n_size"	100	NA
"bbbb41"	"n_seedbank"	1	NA
"bbbb42"	"n_size"	100	NA
"bbbb42"	"n_seedbank"	1	NA
"bbbb43"	"n_size"	100	NA
"bbbb43"	"n_seedbank"	1	NA
"bbbb44"	"n_size"	100	NA
"bbbb44"	"n_seedbank"	1	NA
"bbbb45"	"n_size"	100	NA
"bbbb45"	"n_seedbank"	1	NA
"bbbb46"	"n_size"	100	NA
"bbbb46"	"n_seedbank"	1	NA
"bbbb47"	"n_size"	100	NA
"bbbb47"	"n_seedbank"	1	NA
"bbbb48"	"n_size"	100	NA
"bbbb48"	"n_seedbank"	1	NA
"bbbb49"	"n_size"	100	NA
"bbbb49"	"n_seedbank"	1	NA
"bbbb50"	"n_size"	100	NA
"bbbb50"	"n_seedbank"	1	NA
"bbbb51"	"n_size"	100	NA
"bbbb51"	"n_seedbank"	1	NA
"bbbb52"	"n_size"	100	NA
"bbbb52"	"n_seedbank"	1	NA
"bbbb53"	"n_size"	100	NA
"bbbb53"	"n_seedbank"	1	NA
"bbbb54"	"n_size"	100	NA
"bbbb54"	"n_seedbank"	1	NA
"bbbb55"	"n_size"	100	NA
"bbbb55"	"n_seedbank"	1	NA
"bbbb56"	"n_size"	100	NA
"bbbb56"	"n_seedbank"	1	NA
"bbbb57"	"n_size"	100	NA
"bbbb57"	"n_seedbank"	1	NA
"bbbb58"	"n_size"	100	NA
"bbbb58"	"n_seedbank"	1	NA
"bbbb59"	"n_size"	100	NA
"bbbb59"	"n_seedbank"	1	NA
"bbbb60"	"n_size"	100	NA
"bbbb60"	"n_seedbank"	1	NA
"bbbb61"	"n_size"	100	NA
"bbbb61"	"n_seedbank"	1	NA
"bbbb62"	"n_size"	100	NA
"bbbb62"	"n_seedbank"	1	NA
"bbbb63"	"n_size"	100	NA
"bbbb63"	"n_seedbank"	1	NA
"bbbb64"	"n_size"	100	NA
"bbbb64"	"n_seedbank"	1	NA
"bbbb65"	"n_size"	100	NA
"bbbb65"	"n_seedbank"	1	NA
"bbbb66"	"n_size"	100	NA
"bbbb66"	"n_seedbank"	1	NA
"bbbb67"	"n_size"	100	NA
"bbbb67"	"n_seedbank"	1	NA
"bbbb68"	"n_size"	100	NA
"bbbb68"	"n_seedbank"	1	NA
"bbbb69"	"n_size"	100	NA
"bbbb69"	"n_seedbank"	1	NA
"bbbb70"	"n_size"	100	NA
"bbbb70"	"n_seedbank"	1	NA
"bbbbb0"	"n_size"	NA	NA
"bbbbb1"	"n_size"	NA	NA
"bbbbb2"	"n_size"	NA	NA
"bbbbb3"	"n_size"	NA	NA
"bbbbb4"	"n_size"	NA	NA
"bbbbb5"	"n_size"	NA	NA
"bbbbb6"	"n_size"	NA	NA
"bbbbb7"	"n_size"	100	NA
"bbbbb8"	"n_dbh"	1500	NA
"bbbbb9"	"n_dbh"	1500	NA
"aaaaa9"	"n_leaves"	NA	NA
"aaaa10"	"n_leaves"	NA	NA
"aaaa11"	"n_leaves"	NA	NA
"aaaa12"	"n_leaves"	NA	NA
"aaaa13"	"n_leaves"	NA	NA
"aaaa14"	"n_leaves"	NA	NA
"ccccc1"	"n_sa"	100	NA
"ddddd1"	"n_size"	300	NA
"ddddd2"	"n_size_age"	300	NA
"ddddd3"	"n_svl"	300	NA
