"ipm_id"	"demographic_parameter"	"formula"	"model_type"	"kernel_id"
"aaaaa6"	"Fecundity"	"nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa7"	"Survival"	"s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))"	"Evaluated"	"P"
"aaaaa7"	"Survival"	"alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Survival"	"beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/g_gam"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"g_gam = Gamma(zeta+eta*size_2)"	"Substituted"	"P"
"aaaaa7"	"Growth"	"gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa7"	"Growth"	"y = gamma + delta * size_2^epsilon"	"Evaluated"	"P"
"aaaaa7"	"Fecundity"	"f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))"	"Evaluated"	"F"
"aaaaa7"	"Fecundity"	"theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa7"	"Fecundity"	"iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa7"	"Fecundity"	"kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa7"	"Fecundity"	"f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)"	"Substituted"	"F"
"aaaaa7"	"Fecundity"	"mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa7"	"Fecundity"	"nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa8"	"Survival"	"s_yr = 1/(1+exp(-(a_s_yr+b_s_yr+dbh_1)))"	"Evaluated"	"P_yr"
"aaaaa8"	"Growth"	"g_yr = (1/(o_g_yr * dbh_1 * sqrt(2*pi)))*exp(-((ln(dbh_2-dbh_1)-mu_yr)^2)/(2 * o_g_yr^2))"	"Evaluated"	"P_yr"
"aaaaa8"	"Growth"	"mu_yr = a_g_yr * exp(-b_g_yr*dbh_1)"	"Evaluated"	"P_yr"
"aaaaa8"	"Fecundity"	"f_yr = a_F_yr * (b_F_yr - 10) * exp(-((b_F_yr-10)*(y-10)))"	"Evaluated"	"F_yr"
"aaaa15"	"Survival"	"s = 1/(1+ exp(-(s_0 + s_1*leafarea_1 + s_2 * j + s_3 * leafarea_1 * j)))"	"Evaluated"	"P"
"aaaa15"	"Growth"	"g_mu = g_0 + g_1 * leafarea_1 + g_2 * j + g_3 * A_max + g_4 * leafarea_1 * j + g_5 * leafarea_1 * A_max + g_6 * j * A_max + g_7 * leafarea_1 * j * A_max"	"Evaluated"	"P"
"aaaa15"	"Growth"	"g = Norm(g_mu, g_sd)"	"Substituted"	"P"
"aaaa15"	"Fecundity"	"f =  r_p * r_o * n_f * n_s * s_s * sdl_s * sdl_size"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"r_p = 1 / (1 + exp(-(r_0 + r_1 * leafarea_1 + r_2* j + r_3 * leafarea_1* j)))"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"r_o = exp(i_0 + i_1 * leafarea_1 + i_2 * j + i_3 * leafarea_1 * j)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"s_s = ifelse( j < 6 , s_sl, s_sh)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"sdl_s = ifelse( j < 6 , sdl_sl, sdl_sh)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"sdl_m_l = Norm(sdl_meanl, sdl_sdl)"	"Substituted"	"F"
"aaaa15"	"Fecundity"	"sdl_m_h = Norm(sdl_meanh, sdl_sdh)"	"Substituted"	"F"
"aaaa15"	"Fecundity"	"sdl_size = ifelse( j < 6, sdl_m_l, sdl_m_h)"	"Evaluated"	"F"
"aaaa16"	"Survival"	"s = 1/(1+ exp(-(s_0 + s_1*leafarea_1 + s_2 * j + s_3 * leafarea_1 * j)))"	"Evaluated"	"P"
"aaaa16"	"Growth"	"g_mu = g_0 + g_1 * leafarea_1 + g_2 * j + g_3 * A_max + g_4 * leafarea_1 * j + g_5 * leafarea_1 * A_max + g_6 * j * A_max + g_7 * leafarea_1 * j * A_max"	"Evaluated"	"P"
"aaaa16"	"Growth"	"g = Norm(g_mu, g_sd)"	"Substituted"	"P"
