"ipm_id","kernel_id","formula","model_family","domain_start","domain_end"
"aaaa59","F","F = f_s * fl_p * germ_p * sdl_size * d_logarea","CC","logarea","logarea"
"aaaa60","K","K = P + F","IPM","logarea","logarea"
"aaaa60","P","P = s * g * d_logarea","CC","logarea","logarea"
"aaaa60","F","F = f_s * fl_p * germ_p * sdl_size * d_logarea","CC","logarea","logarea"
"aaaa61","K","K = P + F","IPM","size","size"
"aaaa61","P","P = s * g * d_size","CC","size","size"
"aaaa61","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa62","K","K = P + F","IPM","size","size"
"aaaa62","P","P = s * g * d_size","CC","size","size"
"aaaa62","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa63","K","K = P + F","IPM","size","size"
"aaaa63","P","P = s * g * d_size","CC","size","size"
"aaaa63","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa64","K","K = P + F","IPM","size","size"
"aaaa64","P","P = s * g * d_size","CC","size","size"
"aaaa64","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa65","K","K = P + F","IPM","size","size"
"aaaa65","P","P = s * g * d_size","CC","size","size"
"aaaa65","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa66","K","K = P + F","IPM","size","size"
"aaaa66","P","P = s * g * d_size","CC","size","size"
"aaaa66","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa67","K","K = P + F","IPM","size","size"
"aaaa67","P","P = s * g * d_size","CC","size","size"
"aaaa67","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa68","K","K = P + F","IPM","size","size"
"aaaa68","P","P = s * g * d_size","CC","size","size"
"aaaa68","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa69","K","K = P + F","IPM","size","size"
"aaaa69","P","P = s * g * d_size","CC","size","size"
"aaaa69","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa70","K","K = P + F","IPM","size","size"
"aaaa70","P","P = s * g * d_size","CC","size","size"
"aaaa70","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa71","K","K = P + F","IPM","size","size"
"aaaa71","P","P = s * g * d_size","CC","size","size"
"aaaa71","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa72","K","K = P + F","IPM","size","size"
"aaaa72","P","P = s * g * d_size","CC","size","size"
"aaaa72","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa73","K","K = P + F","IPM","size","size"
"aaaa73","P","P = s * g * d_size","CC","size","size"
"aaaa73","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa74","K","K = P + F","IPM","size","size"
"aaaa74","P","P = s * g * d_size","CC","size","size"
"aaaa74","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa75","K","K = P + F","IPM","size","size"
"aaaa75","P","P = s * g * d_size","CC","size","size"
"aaaa75","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa76","K","K = P + F","IPM","size","size"
"aaaa76","P","P = s * g * d_size","CC","size","size"
"aaaa76","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa77","K","K = P + F","IPM","size","size"
"aaaa77","P","P = s * g * d_size","CC","size","size"
"aaaa77","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa78","K","K = P + F","IPM","size","size"
"aaaa78","P","P = s * g * d_size","CC","size","size"
"aaaa78","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa79","K","K = P + F","IPM","size","size"
"aaaa79","P","P = s * g * d_size","CC","size","size"
"aaaa79","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa80","K","K = P + F","IPM","size","size"
"aaaa80","P","P = s * g * d_size","CC","size","size"
"aaaa80","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa81","K","K = P + F","IPM","size","size"
"aaaa81","P","P = s * g * d_size","CC","size","size"
"aaaa81","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa82","K","K = P + F","IPM","size","size"
"aaaa82","P","P = s * g * d_size","CC","size","size"
"aaaa82","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa83","K","K = P + F","IPM","size","size"
"aaaa83","P","P = s * g * d_size","CC","size","size"
"aaaa83","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa84","K","K = P + F","IPM","size","size"
"aaaa84","P","P = s * g * d_size","CC","size","size"
"aaaa84","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa85","K","K = P + F","IPM","size","size"
"aaaa85","P","P = s * g * d_size","CC","size","size"
"aaaa85","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa86","K","K = P + F","IPM","size","size"
"aaaa86","P","P = s * g * d_size","CC","size","size"
"aaaa86","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa87","K","K = P + F","IPM","size","size"
"aaaa87","P","P = s * g * d_size","CC","size","size"
"aaaa87","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa88","K","K = P + F","IPM","size","size"
"aaaa88","P","P = s * g * d_size","CC","size","size"
"aaaa88","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa89","K","K = P + F","IPM","size","size"
"aaaa89","P","P = s * g * d_size","CC","size","size"
"aaaa89","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa90","K","K = P + F","IPM","size","size"
"aaaa90","P","P = s * g * d_size","CC","size","size"
"aaaa90","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa91","K","K = P + F","IPM","size","size"
"aaaa91","P","P = s * g * d_size","CC","size","size"
"aaaa91","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa92","K","K = P + F","IPM","size","size"
"aaaa92","P","P = s * g * d_size","CC","size","size"
"aaaa92","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa93","K","K = P + F","IPM","size","size"
"aaaa93","P","P = s * g * d_size","CC","size","size"
"aaaa93","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa94","K","K = P + F","IPM","size","size"
"aaaa94","P","P = s * g * d_size","CC","size","size"
"aaaa94","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa95","K","K = P + F","IPM","size","size"
"aaaa95","P","P = s * g * d_size","CC","size","size"
