"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaa117"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa118"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa119"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa120"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa121"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa122"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa123"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa124"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa125"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa126"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa127"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa128"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa129"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa130"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa131"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa132"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa133"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa134"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa135"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa136"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa137"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa138"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa139"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa140"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa141"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa142"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa143"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa144"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa145"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa146"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa147"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa148"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa149"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa150"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa151"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa152"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa153"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa154"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa155"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa156"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa157"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa158"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa159"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa160"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa161"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa162"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa163"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa164"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa165"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa166"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa167"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa168"	"size"	"size_all"	2	55	"K; P; F"	NA
