"ipm_id","state_variable","domain","n_meshpoints","integration_rule","kernel_id"
"aaa324","size","size_all",100,"midpoint","K; P; F; C"
"aaa325","size","size_all",80,"midpoint","K_yr; P_yr; F_yr"
"aaa326","size","size_all",100,"midpoint","K; P; F"
"aaa327","size","size_all",NA,NA,"K; P; F"
"aaa328","rcd","rcd_all",80,"midpoint","K; P; F"
"aaa329","rcd","rcd_all",80,"midpoint","K; P; F"
"aaa330","size","size_all",250,"midpoint","K; P; F"
"aaa331","size","size_all",250,"midpoint","K; P; F"
"aaa332","lnrosette","lnrosette_all",100,"midpoint","K; P; F"
"aaa333","lnrosette","lnrosette_all",100,"midpoint","K; P; F"
"aaa334","size","size_single",500,"midpoint","K_fire_PG_PH; Psingle_fire_PG_PH; Pramet_fire_PG_PH; GSR_fire_PG_PH; F_fire_PG_PH; C_fire_PG_PH"
"aaa334","size","size_ramet",500,"midpoint","K_fire_PG_PH; Psingle_fire_PG_PH; Pramet_fire_PG_PH; GSR_fire_PG_PH; F_fire_PG_PH; C_fire_PG_PH"
"aaa335","dbh","dbh_all",100,"midpoint","K_all; K; P; F; C"
"aaa336","dbh","dbh_all",100,"midpoint","K_all; K; P; F; C"
"aaa337","size","size_all",500,"midpoint",NA
"aaa338","size","size_all",500,"midpoint",NA
"aaa339","size","size_all",500,"midpoint",NA
"aaa340","size","size_all",500,"midpoint",NA
"aaa341","size","size_all",500,"midpoint","K; P; F"
"aaa342","size","size_all",500,"midpoint","K; P; F"
"aaa343","size","size_all",1000,"midpoint","K_en; P_en; F_en"
"aaa344","lnCV","lnCV_all",400,"midpoint","K_yr; P_yr; F_yr"
"aaa345","lnCV","lnCV_all",400,"midpoint","K_yr; P_yr; F_yr"
"aaa346","lnsize","lnsize_all",200,"midpoint","K; P; F"
"aaa347","lnsize","lnsize_all",200,"midpoint","K; P; F"
"aaa348","lnsize","lnsize_all",200,"midpoint","K; P; F"
"aaa349","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa350","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa351","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa352","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa353","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa354","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa355","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa356","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa357","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa358","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa359","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa360","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa361","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa362","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa363","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa364","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa365","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa366","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa367","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa368","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa369","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa370","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa371","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa372","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa373","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa374","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa375","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa376","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa377","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa378","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa379","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa380","lnsize","lnsize_all",100,"midpoint","K; P; F"
"aaa381","lnD","lnD_all",200,"midpoint","K_all_yr_site; K_yr_site; P_yr_site; F_yr_site"
"aaa382","lnD","lnD_all",200,"midpoint","K_all_yr_site; K_yr_site; P_yr_site; F_yr_site"
"aaa383","lnD","lnD_all",200,"midpoint","K_all_yr_site; K_yr_site; P_yr_site; F_yr_site"
"aaa384","Rvol","Rvol_all",50,"midpoint","K_yr; P_yr; F_yr"
"aaa385","height","height_all",50,"midpoint","K; P; F"
"aaa386","height","height_all",50,"midpoint","K; P; F"
"aaa387","height","height_all",50,"midpoint","K; P; F"
"aaa388","height","height_all",50,"midpoint","K; P; F"
"aaa389","lnmass","lnmass_all",100,"midpoint","K; P; F"
"aaa390","lnmass","lnmass_all",100,"midpoint","K; P; F"
"aaa391","lnmass","lnmass_all",100,"midpoint","K; P; F"
"aaa392","lnmass","lnmass_all",100,"midpoint","K; P; F"
"bbbbb0","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb1","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb2","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb3","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb4","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb5","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb6","size","all_size",NA,NA,"K_yr; P_yr; F_yr"
"bbbbb7","size","all_size",100,"midpoint","K; P; F"
