"ipm_id","state_variable","domain","lower","upper","kernel_id","notes"
"aaa203","size","size_all",2,55,"K; P; F",NA
"aaa204","size","size_all",2,55,"K; P; F",NA
"aaa205","size","size_all",2,55,"K; P; F",NA
"aaa206","size","size_all",2,55,"K; P; F",NA
"aaa207","size","size_all",2,55,"K; P; F",NA
"aaa208","size","size_all",2,55,"K; P; F",NA
"aaa209","size","size_all",2,55,"K; P; F",NA
"aaa210","size","size_all",2,55,"K; P; F",NA
"aaa211","size","size_all",2,55,"K; P; F",NA
"aaa212","size","size_all",2,55,"K; P; F",NA
"aaa213","size","size_all",2,55,"K; P; F",NA
"aaa214","size","size_all",2,55,"K; P; F",NA
"aaa215","size","size_all",2,55,"K; P; F",NA
"aaa216","size","size_all",2,55,"K; P; F",NA
"aaa217","size","size_all",2,55,"K; P; F",NA
"aaa218","size","size_all",2,55,"K; P; F",NA
"aaa219","size","size_all",2,55,"K; P; F",NA
"aaa220","size","size_all",2,55,"K; P; F",NA
"aaa221","size","size_all",2,55,"K; P; F",NA
"aaa222","size","size_all",2,55,"K; P; F",NA
"aaa223","size","size_all",2,55,"K; P; F",NA
"aaa224","size","size_all",2,55,"K; P; F",NA
"aaa225","size","size_all",2,55,"K; P; F",NA
"aaa226","size","size_all",2,55,"K; P; F",NA
"aaa227","size","size_all",2,55,"K; P; F",NA
"aaa228","size","size_all",2,55,"K; P; F",NA
"aaa229","size","size_all",2,55,"K; P; F",NA
"aaa230","size","size_all",2,55,"K; P; F",NA
"aaa231","size","size_all",2,55,"K; P; F",NA
"aaa232","size","size_all",2,55,"K; P; F",NA
"aaa233","size","size_all",2,55,"K; P; F",NA
"aaa234","size","size_all",2,55,"K; P; F",NA
"aaa235","size","size_all",2,55,"K; P; F",NA
"aaa236","size","size_all",2,55,"K; P; F",NA
"aaa237","size","size_all",2,55,"K; P; F",NA
"aaa238","size","size_all",2,55,"K; P; F",NA
"aaa239","size","size_all",2,55,"K; P; F",NA
"aaa240","size","size_all",2,55,"K; P; F",NA
"aaa241","size","size_all",2,55,"K; P; F",NA
"aaa242","size","size_all",2,55,"K; P; F",NA
"aaa243","size","size_all",2,55,"K; P; F",NA
"aaa244","size","size_all",2,55,"K; P; F",NA
"aaa245","size","size_all",2,55,"K; P; F",NA
"aaa246","size","size_all",2,55,"K; P; F",NA
"aaa247","size","size_all",2,55,"K; P; F",NA
"aaa248","size","size_all",2,55,"K; P; F",NA
"aaa249","size","size_all",2,55,"K; P; F",NA
"aaa250","size","size_all",2,55,"K; P; F",NA
"aaa251","size","size_all",2,55,"K; P; F",NA
"aaa252","size","size_all",2,55,"K; P; F",NA
"aaa253","size","size_all",2,55,"K; P; F",NA
"aaa254","size","size_all",2,55,"K; P; F",NA
"aaa255","size","size_all",2,55,"K; P; F",NA
"aaa256","size","size_all",2,55,"K; P; F",NA
"aaa257","size","size_all",2,55,"K; P; F",NA
"aaa258","size","size_all",2,55,"K; P; F",NA
"aaa259","size","size_all",2,55,"K; P; F",NA
"aaa260","size","size_all",2,55,"K; P; F",NA
"aaa261","size","size_all",2,55,"K; P; F",NA
"aaa262","size","size_all",2,55,"K; P; F",NA
"aaa263","size","size_all",2,55,"K; P; F",NA
"aaa264","size","size_all",2,55,"K; P; F",NA
"aaa265","size","size_all",2,55,"K; P; F",NA
"aaa266","size","size_all",2,55,"K; P; F",NA
"aaa267","size","size_all",2,55,"K; P; F",NA
"aaa268","size","size_all",2,55,"K; P; F",NA
"aaa269","size","size_all",2,55,"K; P; F",NA
"aaa270","size","size_all",2,55,"K; P; F",NA
"aaa271","size","size_all",2,55,"K; P; F",NA
"aaa272","size","size_all",2,55,"K; P; F",NA
"aaa273","size","size_all",2,55,"K; P; F",NA
"aaa274","size","size_all",2,55,"K; P; F",NA
"aaa275","size","size_all",2,55,"K; P; F",NA
"aaa276","size","size_all",2,55,"K; P; F",NA
"aaa277","size","size_all",2,55,"K; P; F",NA
"aaa278","size","size_all",2,55,"K; P; F",NA
"aaa279","size","size_all",2,55,"K; P; F",NA
"aaa280","size","size_all",2,55,"K; P; F",NA
"aaa281","size","size_all",2,55,"K; P; F",NA
"aaa282","size","size_all",2,55,"K; P; F",NA
"aaa283","size","size_all",2,55,"K; P; F",NA
"aaa284","size","size_all",2,55,"K; P; F",NA
"aaa285","size","size_all",2,55,"K; P; F",NA
"aaa286","size","size_all",2,55,"K; P; F",NA
"aaa287","size","size_all",2,55,"K; P; F",NA
"aaa288","size","size_all",2,55,"K; P; F",NA
"aaa289","size","size_all",2,55,"K; P; F",NA
"aaa290","size","size_all",2,55,"K; P; F",NA
"aaa291","size","size_all",2,55,"K; P; F",NA
"aaa292","size","size_all",2,55,"K; P; F",NA
"aaa293","size","size_all",2,55,"K; P; F",NA
"aaa294","size","size_all",2,55,"K; P; F",NA
"aaa295","size","size_all",2,55,"K; P; F",NA
"aaa296","size","size_all",2,55,"K; P; F",NA
"aaa297","size","size_all",2,55,"K; P; F",NA
"aaa298","size","size_all",2,55,"K; P; F",NA
"aaa299","size","size_all",2,55,"K; P; F",NA
"aaa300","size","size_all",2,55,"K; P; F",NA
"aaa301","size","size_all",2,55,"K; P; F",NA
"aaa302","size","size_all",2,55,"K; P; F",NA
"aaa303","size","size_all",2,55,"K; P; F",NA
"aaa304","size","size_all",2,55,"K; P; F",NA
"aaa305","size","size_all",2,55,"K; P; F",NA
"aaa306","size","size_all",2,55,"K; P; F",NA
"aaa307","size","size_all",2,55,"K; P; F",NA
"aaa308","size","size_all",2,55,"K; P; F",NA
"aaa309","size","size_all",2,55,"K; P; F",NA
"aaa313","size","size_all",0.559615787935423,8.38529850560948,"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr",NA
"aaa314","size","size_all",0.19062035960865,7.09898955947908,"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr",NA
"aaa315","size","size_all",0.131028262406404,7.70635640752294,"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr",NA
"aaa317","size","size_all",0.148420005118273,7.33258950423555,"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr",NA
"aaa321","size","size_all",0,200,"K_yr; P_yr; C_yr",NA
"aaa323","size","size_all",0.45,9.735,"K; P; F",NA
"aaa326","size","size_all",-2,2,"K; P; F",NA
"aaa329","rcd","rcd_all",-0.5,3.5,"K; P; F",NA
"aaa339","size","size_all",1.2,624,NA,NA
"aaa340","size","size_all",1.2,624,NA,NA
"aaa341","size","size_all",1.26,482.9,"K; P; F",NA
"aaa342","size","size_all",1.26,482.9,"K; P; F",NA
"aaa343","size","size_all",5,250,"K_en; P_en; F_en",NA
"aaa344","lnCV","lnCV_all",1,17,"K_yr; P_yr; F_yr",NA
"aaa345","lnCV","lnCV_all",1,17,"K_yr; P_yr; F_yr",NA
"aaa346","lnsize","lnsize_all",-0.6931472,3.465736,"K; P; F; goSB; goCont",NA
"aaa347","lnsize","lnsize_all",-0.6931472,3.465736,"K; P; F; goSB; goCont",NA
"aaa348","lnsize","lnsize_all",-0.6931472,3.465736,"K; P; F; goSB; goCont",NA
"aaa349","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa350","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa351","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa352","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa353","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa354","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa355","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa356","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa357","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa358","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa359","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa360","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa361","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa362","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa363","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa364","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa365","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa366","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa367","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa368","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa369","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa370","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa371","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa372","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa373","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa374","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa375","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa376","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa377","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa378","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa379","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa380","lnsize","lnsize_all",-0.621,11.605,"K; P; F",NA
"aaa385","height","height_all",0,250,"K; P; F",NA
"aaa388","height","height_all",0,250,"K; P; F",NA
"aaa390","lnmass","lnmass_all",-10,10,"K; P; F",NA
"aaa392","lnmass","lnmass_all",-10,10,"K; P; F",NA
"ddddd1","size",NA,0,300,"P; F_LS",NA
"ddddd3","svl",NA,13.1,250,"P; F",NA
"ddddd5","svl",NA,160,1000,"P; F",NA
"ddddd7","wt",NA,0.1,38,"P; F",NA
