"ipm_id"	"state_variable"	"domain"	"n_meshpoints"	"integration_rule"	"kernel_id"
"aaa282"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa283"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa284"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa285"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa286"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa287"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa288"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa289"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa290"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa291"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa292"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa293"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa294"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa295"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa296"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa297"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa298"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa299"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa300"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa301"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa302"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa303"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa304"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa305"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa306"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa307"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa308"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa309"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa310"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa311"	"size"	"size_all"	1000	"midpoint"	"K_sp; P_sp; F_sp"
"aaa312"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa313"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa314"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa315"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa316"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa317"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa318"	"size"	"size_all"	100	"midpoint"	"P_yr; SdlOut_yr; goSB_yr; goSdl_yr"
"aaa321"	"size"	"size_all"	100	"midpoint"	"K_yr; P_yr; C_yr"
"aaa323"	"size"	"size_all"	100	"midpoint"	"K; P; F"
"aaa326"	"size"	"size_all"	100	"midpoint"	"K; P; F"
"aaa329"	"rcd"	"rcd_all"	80	"midpoint"	"K; P; F"
"aaa339"	"size"	"size_all"	500	"midpoint"	"P; goCont; goSB"
"aaa340"	"size"	"size_all"	500	"midpoint"	"P; goCont; goSB"
"aaa341"	"size"	"size_all"	500	"midpoint"	"K; P; F"
"aaa342"	"size"	"size_all"	500	"midpoint"	"K; P; F"
"aaa343"	"size"	"size_all"	1000	"midpoint"	"K_en; P_en; F_en"
"aaa344"	"lnCV"	"lnCV_all"	400	"midpoint"	"K_yr; P_yr; F_yr"
"aaa345"	"lnCV"	"lnCV_all"	400	"midpoint"	"K_yr; P_yr; F_yr"
"aaa346"	"lnsize"	"lnsize_all"	200	"midpoint"	"P; F; staySB; goSB; sdlCont; Fsdl; SB1sdl; SB2sdl"
"aaa347"	"lnsize"	"lnsize_all"	200	"midpoint"	"P; F; staySB; goSB; sdlCont; Fsdl; SB1sdl; SB2sdl"
"aaa348"	"lnsize"	"lnsize_all"	200	"midpoint"	"P; F; staySB; goSB; sdlCont; Fsdl; SB1sdl; SB2sdl"
"aaa351"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa353"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa358"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa359"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa374"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa375"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa376"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa377"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa378"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa380"	"lnsize"	"lnsize_all"	100	"midpoint"	"K; P; F"
"aaa385"	"height"	"height_all"	50	"midpoint"	"K; P; F"
"aaa388"	"height"	"height_all"	50	"midpoint"	"K; P; F"
"ccccc1"	"sa"	"all_sa"	100	"midpoint"	"P; F"
"ddddd3"	"svl"	NA	300	"midpoint"	"P; F"
"ddddd4"	"size"	NA	300	"midpoint"	"P; F"
"ddddd5"	"svl"	NA	100	"midpoint"	"P; F"
"ddddd7"	"wt"	NA	200	"midpoint"	"P; F"
"dddd10"	"len"	NA	370	"midpoint"	"P; F"
"dddd11"	"len"	NA	370	"midpoint"	"P; F"
"dddd13"	"len"	NA	370	"midpoint"	"P; F"
"dddd14"	"len"	NA	370	"midpoint"	"P; F"
"dddd21"	"len"	NA	370	"midpoint"	"P; F"
"dddd24"	"sl"	NA	200	"midpoint"	"P; F"
"dddd26"	"len"	NA	300	"midpoint"	"P; F"
"dddd29"	"svl"	NA	300	"midpoint"	"P; F"
"dddd30"	"svl"	NA	1000	"midpoint"	"P; F"
"dddd31"	"svl"	NA	1000	"midpoint"	"P; F"
"dddd32"	"svl"	NA	1000	"midpoint"	"P; F"
